Wojna: animacja w mundurze	Walt Disney	Der Fuehrer's Face	1943	full	60	2400	Der Fuehrer's Face Donald Duck 1943 Disney
Wojna: animacja w mundurze	Walt Disney	Education for Death	1943	full	60	2400	Education for Death 1943 Disney Clyde Geronimi
Wojna: animacja w mundurze	Chuck Jones	Private Snafu: Spies	1943	full	60	2400	Private Snafu Spies 1943 Chuck Jones
Wojna: animacja w mundurze	Frank Capra	Why We Fight: Prelude to War	1942	documentary	1200	4000	Why We Fight Prelude to War 1942 Frank Capra
Wojna: animacja w mundurze	Chuck Jones	Hell-Bent for Election	1944	full	60	2400	Hell-Bent for Election 1944 Chuck Jones UPA
Wojna: animacja w mundurze	Mitsuyo Seo	Momotarō: Umi no Shinpei	1945	fragment	45	1200	Momotaro Umi no Shinpei 1945 Mitsuyo Seo
Wojna: animacja w mundurze	Walt Disney	Victory Through Air Power	1943	fragment	45	1200	Victory Through Air Power 1943 Disney
Wojna: animacja w mundurze	Halas & Batchelor	Dustbin Parade	1941	full	60	2400	Dustbin Parade 1941 Halas Batchelor
Wojna: animacja w mundurze	Friz Freleng	Herr Meets Hare	1945	full	60	2400	Herr Meets Hare 1945 Bugs Bunny Friz Freleng
Wojna: animacja w mundurze	Bob Clampett	Russian Rhapsody	1944	full	60	2400	Russian Rhapsody 1944 Bob Clampett Merrie Melodies
Wojna: animacja w mundurze	Walt Disney	Reason and Emotion	1943	full	60	2400	Reason and Emotion 1943 Disney
Wojna: animacja w mundurze	Walt Disney	Commando Duck	1944	full	60	2400	Commando Duck 1944 Donald Duck Disney
Wojna: animacja w mundurze	Mitsuyo Seo	Momotarō no Umiwashi	1943	fragment	45	2400	Momotaro no Umiwashi 1943 Sea Eagles Mitsuyo Seo
UPA i graficzna rewolucja	Robert Cannon	Gerald McBoing-Boing	1950	full	60	2400	Gerald McBoing Boing 1950 UPA
UPA i graficzna rewolucja	John Hubley	Rooty Toot Toot	1951	full	60	2400	Rooty Toot Toot 1951 John Hubley UPA
UPA i graficzna rewolucja	Ted Parmelee	The Tell-Tale Heart	1953	full	60	2400	The Tell-Tale Heart 1953 UPA Ted Parmelee
UPA i graficzna rewolucja	William T. Hurtz	A Unicorn in the Garden	1953	full	60	2400	A Unicorn in the Garden 1953 UPA Thurber
UPA i graficzna rewolucja	Ward Kimball	Toot, Whistle, Plunk and Boom	1953	full	60	2400	Toot Whistle Plunk and Boom 1953 Disney Ward Kimball
